index,0
Petr Necas,"Petr Nečas (Czech pronunciation: [ˈpɛtr̩ ˈnɛtʃas]; born 19 November 1964) is a Czech former politician who served as the prime minister of the Czech Republic and leader of the Civic Democratic Party from 2010 to 2013, and as Member of the Chamber of Deputies (MP) from 1993 to 2013.
Born in Uherské Hradiště, Nečas earned a doctor of natural sciences degree in physics at Masaryk University in Brno."
Jeff Smith,"Jeffrey L. Smith (January 22, 1939 – July 7, 2004) was the author of several best-selling cookbooks and the host of The Frugal Gourmet, a popular American cooking show. The show began in Tacoma, Washington, as Cooking Fish Creatively, on a local PBS station KTPS (now KBTC), and it aired from 1973 to 1977; later, it moved to WTTW in Chicago, and finally, to KQED in San Francisco, and Natan Katzman's A La Carte Communications, where it aired on PBS from 1984 to 1997."
Roger Teague,"Roger W. Teague is a retired United States Air Force major general who is the chief executive officer of PredaSAR. In the U.S. Air Force, he last served as the Director of Strategic Plans, Programs, and Analysis of the Air Force Space Command.


== References ==


== External links ==
 Media related to Roger W. Teague at Wikimedia Commons This article incorporates public domain material from websites or documents of the United States Government."
Benjamin Lawsky,"Benjamin Meier Lawsky (born April 14, 1970) is an American attorney and New York State's first Superintendent of Financial Services serving through June, 2015, and former Acting Superintendent of Banks serving through 2011.


== Early life and education ==
Lawsky was born near a Navy base in San Diego, California, but grew up in Pittsburgh, Pennsylvania with a twin sister."
Winslow Wheeler,"Winslow T. Wheeler is the Director of the Straus Military Reform Project of the Project On Government Oversight in the Washington, D.C. area.
He has authored two books: The Wastrels of Defense: How Congress Sabotages National Security (US Naval Institute Press) and Military Reform: An Uneven History and an Uncertain Future  (Stanford University Press)."
Aviv Bushinsky,"Aviv Bushinsky (born April 13, 1967) is a journalist, CEO, businessman and an undergraduate program communications lecturer.
He is the chairman of the Israel Squash Association."
Shaun Gregory,"Shaun Gregory is a British businessman, former CEO of BTI Studios, and is currently serving as Chief Executive Officer of Iyuno Media Group.At Iyuno Media Group, Gregory leads their global localization teams that are located across Europe, Asia, and the US. With digital media distribution's rapid growth due to the ever-increasing demand, consumption and accessibility of new content on a worldwide basis, Gregory works together with his global team to continue Iyuno Media Group's global expansion.


== Education ==
1985-1988: Nottingham College
1999-2000: Wharton Business School
2001: Ashridge Business School (part of Hult International Business School)


== Career ==
Prior to serving as CEO of Iyuno Media Group, Gregory was CEO at BTI Studios."
Ali Safavi,"Ali Mirza Safavi also known as Soltan-Ali Safavi (died 1494) was the penultimate head of the Safavid order. Having grown wary of his political power, Ali Mirza was captured by the Ak Koyunlu and spent several years in captivity in Fars before being released in 1493 by prince Rostam."
Mohammad Hejazi,"Mohammad Hossein-Zadeh Hejazi (Persian: محمد حسین‌زاده حجازی, 20 January 1956 – 18 April 2021) was a military commander in Iran's Islamic Revolutionary Guard Corps.


== Early life and education ==
Hejazi was born in Isfahan in 1956."
Alireza Nikzad,"Ali Nikzad (Persian: علی نیکزاد, born 1961) is an Iranian conservative politician and academic and a former cabinet minister.


== Early life and education ==
Nikzad was born in 1961."
Frank von Hippel,Frank N. von Hippel (born 1937) is an American physicist. He is Professor and Co-Director of Program on Science and Global Security at Princeton University and the Princeton School of Public and International Affairs.
Nuclear Energy Institute,"The Nuclear Energy Institute (NEI) is a nuclear industry trade association in the United States of America, based in Washington, D.C.


== Synopsis ==
According to its website, the NEI ""develops policy on key legislative and regulatory issues affecting the industry. NEI then serves as a unified industry voice before the U.S. Congress, executive branch agencies and federal regulators, as well as international organizations and venues."
James Carville,"Chester James Carville Jr. (born October 25, 1944) is an American political consultant and author who has strategized for candidates for public office in the United States, and in 23 nations abroad."
Bill Browder,"William Felix Browder (born April 23, 1964) is an American-born British financier and political activist. He is the CEO and co-founder of Hermitage Capital Management, the investment advisor to the Hermitage Fund, which at one time was the largest foreign portfolio investor in Russia."
Lynne Cheney,"Lynne Ann Cheney ( CHAYN-ee; née Vincent; born August 14, 1941) is an American author, scholar, and former talk show host. She is married to the 46th vice president of the United States, Dick Cheney, and served as the second lady of the United States from 2001 to 2009."
Warren Kozak,"Warren Kozak (born 1951) is an American journalist and author. His writing appears frequently on the OpEd pages of The Wall Street Journal, the New York Sun and other newspapers and magazines."
Timken,The Timken Company is a global manufacturer of bearings and power transmission products. Timken operates from 42 countries.
Erel Margalit,Erel Margalit (Hebrew: אראל מרגלית; born 1 January 1961) is an Israeli high-tech and social entrepreneur. He is the founder and Executive Chairman of the Jerusalem-based venture capital firm Jerusalem Venture Partners (JVP) and the founder of two non-profit organizations “Bakehila” and “Israel Initiative 2020” establishing seven regions of excellence that combine technology and education.
Pierre Goldschmidt,"Mr. Pierre Goldschmidt, a Belgian nuclear scientist, retired June, 2005, as Deputy Director General and Head of the Department of Safeguards at the International Atomic Energy Agency, (IAEA), succeeded by Olli Heinonen."
Malcolm Grimston,"Malcolm Charles Grimston (born 1 May 1958) is a British advocate of nuclear power, and is also a scientific author, based at the Centre for Energy Policy and Technology at Imperial College London. He has featured extensively on British television and radio in context of the latest new-build power stations for nuclear power in the United Kingdom."
John Ratcliffe,"John Lee Ratcliffe (born October 20, 1965) is an American politician and attorney who served as the Director of National Intelligence from 2020 to 2021. He previously served as the U.S. representative for Texas's 4th district from 2015 to 2020."
Mark Pryor,"Mark Lunsford Pryor (born January 10, 1963) is an American attorney, politician and lobbyist who served as a United States Senator from Arkansas from 2003 to 2015. He is a member of the Democratic Party."
Li Changhe,"Changhe, officially Jiangxi Changhe Automobile Co Ltd, is a Chinese automobile manufacturer based in Jingdezhen, Jiangxi province, China.Currently a majority-owned subsidiary of a large, state-owned automaker, BAIC, Changhe was previously engaged in a joint venture with Suzuki Motor Corporation of Japan, and some of the products it manufactures carry the Suzuki brand.
It may be a partner in the lesser of the two Suzuki joint ventures in China, and in the span of six years from 2008-2014 Changhe underwent a series of ownership changes and mergers that saw it transform from a subsidiary of a sedentary maker of military aircraft to a neglected division of a struggling, second-rate automaker (Chang'an) already overburdened with excess production lines for Suzuki microvans at a time when consumers in third- and fourth-tier cities were snapping up cheap and cheerful sedans and hatchbacks."
Ben LaBolt,"""Ben Bolt"" (Roud 2653) is a sentimental ballad with lyrics derived from a poem by Thomas Dunn English. It enjoyed widespread popularity throughout the English-speaking world during the nineteenth century."
Mark Bailey,"Mark Daniel Bailey (born November 21, 1968) is an American writer based in the Los Angeles area. He is best known as a writer of documentary films."
